time,AHTHumiditySensor,AHTTemperatureSensor,BroadbandSensor,IRSensor,MPLPressureSensor,MPLTemperatureSensor,UVSensor
2024-04-08 13:49:45-04:00,24.7,29.7,65535.0,65535.0,1015.5,31.4,3.9
2024-04-08 13:49:46-04:00,24.7,29.7,65535.0,65535.0,1015.5,31.4,3.9
2024-04-08 13:49:47-04:00,24.7,29.7,65535.0,65535.0,1015.5,31.4,3.9
2024-04-08 13:49:48-04:00,24.6,29.7,65535.0,65535.0,1015.5,31.4,3.9
2024-04-08 13:49:49-04:00,24.6,29.8,65535.0,65535.0,1015.5,31.4,3.9
2024-04-08 13:49:50-04:00,24.6,29.8,65535.0,65535.0,1015.5,31.4,3.9
2024-04-08 13:49:51-04:00,24.6,29.9,65535.0,65535.0,1015.5,31.4,3.9
2024-04-08 13:49:52-04:00,24.6,29.9,65535.0,65535.0,1015.5,31.5,3.9
2024-04-08 13:49:53-04:00,24.5,30.0,65535.0,65535.0,1015.5,31.5,3.9
2024-04-08 13:49:54-04:00,24.4,30.0,65535.0,65535.0,1015.5,31.5,3.9
2024-04-08 13:49:55-04:00,24.2,30.1,65535.0,65535.0,1015.4,31.5,3.9
2024-04-08 13:49:56-04:00,24.0,30.1,65535.0,65535.0,1015.4,31.5,3.9
2024-04-08 13:49:57-04:00,23.9,30.1,65535.0,65535.0,1015.4,31.6,3.9
2024-04-08 13:49:58-04:00,23.9,30.2,65535.0,65535.0,1015.5,31.6,3.9
2024-04-08 13:49:59-04:00,23.8,30.2,65535.0,65535.0,1015.4,31.6,3.9
2024-04-08 13:50:00-04:00,23.7,30.3,65535.0,65535.0,1015.4,31.6,3.8
2024-04-08 13:50:01-04:00,23.7,30.3,65535.0,65535.0,1015.4,31.6,3.9
2024-04-08 13:50:02-04:00,23.6,30.3,65535.0,65535.0,1015.4,31.7,3.9
2024-04-08 13:50:03-04:00,23.6,30.3,65535.0,65535.0,1015.4,31.7,3.8
2024-04-08 13:50:04-04:00,23.5,30.4,65535.0,65535.0,1015.4,31.7,3.9
2024-04-08 13:50:05-04:00,23.5,30.4,65535.0,65535.0,1015.4,31.8,3.9
2024-04-08 13:50:06-04:00,23.4,30.4,65535.0,65535.0,1015.4,31.8,3.9
2024-04-08 13:50:07-04:00,23.4,30.4,65535.0,65535.0,1015.4,31.8,3.9
2024-04-08 13:50:08-04:00,23.4,30.4,65535.0,65535.0,1015.4,31.8,3.8
2024-04-08 13:50:09-04:00,23.6,30.3,65535.0,65535.0,1015.4,31.8,3.8
