time,AHTTemperatureSensor,IRSensor,UVSensor
2024-04-08 13:49:45-04:00,29.7,65535,3.9
2024-04-08 13:49:46-04:00,29.7,65535,3.9
2024-04-08 13:49:47-04:00,29.7,65535,3.9
2024-04-08 13:49:48-04:00,29.7,65535,3.9
2024-04-08 13:49:49-04:00,29.8,65535,3.9
2024-04-08 13:49:50-04:00,29.8,65535,3.9
2024-04-08 13:49:51-04:00,29.9,65535,3.9
2024-04-08 13:49:52-04:00,29.9,65535,3.9
2024-04-08 13:49:53-04:00,30,65535,3.9
2024-04-08 13:49:54-04:00,30,65535,3.9
2024-04-08 13:49:55-04:00,30.1,65535,3.9
2024-04-08 13:49:56-04:00,30.1,65535,3.9
2024-04-08 13:49:57-04:00,30.1,65535,3.9
2024-04-08 13:49:58-04:00,30.2,65535,3.9
2024-04-08 13:49:59-04:00,30.2,65535,3.9
2024-04-08 13:50:00-04:00,30.3,65535,3.8
2024-04-08 13:50:01-04:00,30.3,65535,3.9
2024-04-08 13:50:02-04:00,30.3,65535,3.9
2024-04-08 13:50:03-04:00,30.3,65535,3.8
2024-04-08 13:50:04-04:00,30.4,65535,3.9
2024-04-08 13:50:05-04:00,30.4,65535,3.9
2024-04-08 13:50:06-04:00,30.4,65535,3.9
2024-04-08 13:50:07-04:00,30.4,65535,3.9
2024-04-08 13:50:08-04:00,30.4,65535,3.8
2024-04-08 13:50:09-04:00,30.3,65535,3.8
2024-04-08 13:50:10-04:00,30.3,65535,3.8
2024-04-08 13:50:11-04:00,30.3,65535,3.7
2024-04-08 13:50:12-04:00,30.3,44286,3.5
2024-04-08 13:50:13-04:00,30.2,65535,3.9
2024-04-08 13:50:14-04:00,30.2,65535,3.8
2024-04-08 13:50:15-04:00,30.3,65535,3.9
2024-04-08 13:50:16-04:00,30.3,65535,3.8
2024-04-08 13:50:17-04:00,30.3,65535,3.9
2024-04-08 13:50:18-04:00,30.4,65535,3.9
2024-04-08 13:50:19-04:00,30.4,65535,3.9
2024-04-08 13:50:20-04:00,30.4,65535,3.9
2024-04-08 13:50:21-04:00,30.4,65535,3.9
2024-04-08 13:50:22-04:00,30.3,65535,4
2024-04-08 13:50:23-04:00,30.5,65535,4
2024-04-08 13:50:24-04:00,30.6,65535,4
2024-04-08 13:50:25-04:00,30.7,65535,4
2024-04-08 13:50:26-04:00,30.6,65535,4.1
