time,AHTTemperatureSensor,IRSensor,UVSensor
2024-04-08 14:04:25-04:00,21.6,65535.0,3.4
2024-04-08 14:08:05-04:00,20.8,65535.0,3.7
2024-04-08 14:11:47-04:00,21.8,65535.0,3.4
2024-04-08 14:14:00-04:00,23.9,65535.0,4.1
2024-04-08 14:17:05-04:00,25.5,65535.0,4.9
2024-04-08 14:20:12-04:00,24.3,65535.0,4.5
2024-04-08 14:23:18-04:00,24.1,65535.0,4.7
2024-04-08 14:26:24-04:00,24.4,65535.0,4.7
2024-04-08 14:29:29-04:00,25.1,65535.0,4.2
2024-04-08 14:32:35-04:00,24.6,65535.0,3.6
2024-04-08 14:35:42-04:00,22.2,65535.0,2.8
2024-04-08 14:38:48-04:00,20.4,65535.0,2.6
2024-04-08 14:41:54-04:00,19.4,65535.0,2.5
2024-04-08 14:44:59-04:00,21.4,65535.0,2.5
2024-04-08 14:48:05-04:00,21.6,65535.0,1.8
2024-04-08 14:51:11-04:00,20.6,65535.0,1.5
2024-04-08 14:54:18-04:00,19.7,59844.0,1.0
2024-04-08 14:57:24-04:00,19.9,51061.0,0.7
2024-04-08 15:00:29-04:00,19.8,43703.0,0.4
2024-04-08 15:03:35-04:00,17.7,36935.5,0.1
2024-04-08 15:06:43-04:00,14.4,29277.0,0.0
2024-04-08 15:09:48-04:00,13.1,25879.5,0.0
2024-04-08 15:12:54-04:00,13.2,20201.0,0.0
2024-04-08 15:16:01-04:00,12.3,14428.0,0.0
2024-04-08 15:19:07-04:00,12.0,9864.0,0.0
2024-04-08 15:22:14-04:00,10.9,4973.0,0.0
2024-04-08 15:25:00-04:00,10.2,821.0,0.0
2024-04-08 15:25:03-04:00,10.2,759.0,0.0
2024-04-08 15:25:06-04:00,10.1,708.0,0.0
2024-04-08 15:25:09-04:00,10.1,653.0,0.0
2024-04-08 15:25:12-04:00,10.0,606.0,0.0
2024-04-08 15:25:15-04:00,10.0,570.0,0.0
2024-04-08 15:25:18-04:00,10.0,511.5,0.0
2024-04-08 15:25:21-04:00,9.9,457.0,0.0
2024-04-08 15:25:24-04:00,9.8,422.5,0.0
2024-04-08 15:25:27-04:00,9.8,369.0,0.0
2024-04-08 15:25:30-04:00,9.8,330.0,0.0
2024-04-08 15:25:33-04:00,9.7,288.0,0.0
2024-04-08 15:25:36-04:00,9.7,265.0,0.0
2024-04-08 15:25:39-04:00,9.7,231.0,0.0
2024-04-08 15:25:42-04:00,9.6,185.0,0.0
2024-04-08 15:25:45-04:00,9.6,150.0,0.0
2024-04-08 15:25:48-04:00,9.6,123.0,0.0
2024-04-08 15:25:51-04:00,9.6,94.0,0.0
2024-04-08 15:25:54-04:00,9.6,77.0,0.0
2024-04-08 15:25:57-04:00,9.6,48.0,0.0
2024-04-08 15:26:00-04:00,9.6,36.0,0.0
2024-04-08 15:26:03-04:00,9.6,20.0,0.0
2024-04-08 15:26:06-04:00,9.6,10.0,0.0
2024-04-08 15:26:09-04:00,9.6,7.0,0.0
2024-04-08 15:26:12-04:00,9.7,6.0,0.0
2024-04-08 15:26:15-04:00,9.7,5.0,0.0
2024-04-08 15:26:18-04:00,9.7,4.0,0.0
2024-04-08 15:26:21-04:00,9.6,4.0,0.0
2024-04-08 15:26:24-04:00,9.6,4.0,0.0
2024-04-08 15:26:27-04:00,9.6,3.0,0.0
2024-04-08 15:26:30-04:00,9.7,3.0,0.0
2024-04-08 15:26:33-04:00,9.7,3.0,0.0
2024-04-08 15:26:36-04:00,9.7,3.0,0.0
2024-04-08 15:26:39-04:00,9.7,3.0,0.0
2024-04-08 15:26:42-04:00,9.7,3.0,0.0
2024-04-08 15:26:45-04:00,9.7,3.0,0.0
2024-04-08 15:26:48-04:00,9.7,3.0,0.0
2024-04-08 15:26:51-04:00,9.7,3.0,0.0
2024-04-08 15:26:54-04:00,9.8,2.0,0.0
2024-04-08 15:26:57-04:00,9.8,2.0,0.0
2024-04-08 15:27:00-04:00,9.8,2.0,0.0
2024-04-08 15:27:03-04:00,9.8,2.0,0.0
2024-04-08 15:27:06-04:00,9.8,2.0,0.0
2024-04-08 15:27:09-04:00,9.9,2.0,0.0
2024-04-08 15:27:12-04:00,9.9,2.0,0.0
2024-04-08 15:27:15-04:00,9.9,2.0,0.0
2024-04-08 15:27:18-04:00,9.9,2.0,0.0
2024-04-08 15:27:21-04:00,9.9,2.0,0.0
2024-04-08 15:27:24-04:00,9.9,2.0,0.0
2024-04-08 15:27:27-04:00,10.0,2.0,0.0
2024-04-08 15:27:30-04:00,10.0,2.0,0.0
2024-04-08 15:27:33-04:00,10.0,2.0,0.0
2024-04-08 15:27:36-04:00,10.0,2.0,0.0
2024-04-08 15:27:39-04:00,10.0,2.0,0.0
2024-04-08 15:27:42-04:00,10.0,2.0,0.0
2024-04-08 15:27:45-04:00,10.0,2.0,0.0
2024-04-08 15:27:48-04:00,10.0,2.0,0.0
2024-04-08 15:27:51-04:00,10.0,2.0,0.0
2024-04-08 15:27:54-04:00,10.0,2.0,0.0
2024-04-08 15:27:57-04:00,10.0,2.0,0.0
2024-04-08 15:28:00-04:00,10.0,2.0,0.0
2024-04-08 15:28:03-04:00,10.1,3.0,0.0
2024-04-08 15:28:06-04:00,10.1,3.0,0.0
2024-04-08 15:28:09-04:00,10.1,3.0,0.0
2024-04-08 15:28:12-04:00,10.1,3.0,0.0
2024-04-08 15:28:15-04:00,10.2,3.0,0.0
2024-04-08 15:28:18-04:00,10.1,3.0,0.0
2024-04-08 15:28:21-04:00,10.2,3.0,0.0
2024-04-08 15:28:24-04:00,10.1,3.0,0.0
2024-04-08 15:28:27-04:00,10.2,3.0,0.0
2024-04-08 15:28:30-04:00,10.2,3.0,0.0
2024-04-08 15:28:33-04:00,10.2,3.0,0.0
2024-04-08 15:28:36-04:00,10.1,3.0,0.0
2024-04-08 15:28:39-04:00,10.2,4.0,0.0
2024-04-08 15:28:42-04:00,10.2,4.0,0.0
2024-04-08 15:28:45-04:00,10.1,4.0,0.0
2024-04-08 15:28:48-04:00,10.2,4.0,0.0
2024-04-08 15:28:52-04:00,10.1,4.0,0.0
2024-04-08 15:28:55-04:00,10.1,4.5,0.0
2024-04-08 15:28:58-04:00,10.1,5.0,0.0
2024-04-08 15:30:00-04:00,10.1,303.0,0.0
2024-04-08 15:30:30-04:00,10.0,594.0,0.0
2024-04-08 15:31:00-04:00,9.8,880.0,0.0
2024-04-08 15:31:31-04:00,9.8,1484.0,0.0
2024-04-08 15:32:01-04:00,9.8,2111.0,0.0
2024-04-08 15:32:32-04:00,9.8,2790.0,0.0
2024-04-08 15:33:03-04:00,9.7,3636.0,0.0
2024-04-08 15:33:33-04:00,9.5,4547.0,0.0
2024-04-08 15:34:03-04:00,9.5,5247.0,0.0
2024-04-08 15:34:33-04:00,9.8,5874.0,0.0
2024-04-08 15:35:03-04:00,10.0,6834.0,0.0
2024-04-08 15:35:33-04:00,10.1,7674.0,0.0
2024-04-08 15:36:03-04:00,10.2,8489.0,0.0
2024-04-08 15:36:33-04:00,10.3,9461.0,0.0
2024-04-08 15:37:03-04:00,10.4,10538.0,0.0
2024-04-08 15:37:34-04:00,10.5,11821.0,0.0
2024-04-08 15:38:04-04:00,10.8,13052.0,0.0
2024-04-08 15:38:34-04:00,11.0,14205.0,0.0
2024-04-08 15:39:04-04:00,11.2,15062.0,0.0
2024-04-08 15:39:34-04:00,11.3,15620.0,0.0
2024-04-08 15:40:04-04:00,11.6,16875.0,0.0
2024-04-08 15:40:35-04:00,11.8,16082.0,0.0
2024-04-08 15:41:05-04:00,12.0,18440.0,0.0
2024-04-08 15:41:35-04:00,12.2,19942.0,0.0
2024-04-08 15:42:05-04:00,12.5,20584.0,0.0
2024-04-08 15:42:36-04:00,12.7,21569.5,0.0
2024-04-08 15:43:06-04:00,13.0,23239.0,0.0
2024-04-08 15:43:36-04:00,13.0,24641.0,0.0
2024-04-08 15:44:06-04:00,12.9,25950.0,0.0
2024-04-08 15:44:36-04:00,12.9,26527.0,0.0
2024-04-08 15:45:06-04:00,13.0,27741.0,0.0
2024-04-08 15:45:36-04:00,13.1,28254.0,0.0
2024-04-08 15:46:06-04:00,13.3,29685.0,0.0
2024-04-08 15:46:36-04:00,13.4,29787.0,0.0
2024-04-08 15:47:06-04:00,13.3,29242.0,0.0
2024-04-08 15:47:36-04:00,13.4,30735.0,0.0
2024-04-08 15:48:06-04:00,13.4,31038.0,0.0
2024-04-08 15:48:36-04:00,13.4,32596.0,0.0
2024-04-08 15:49:06-04:00,13.8,32876.0,0.0
2024-04-08 15:49:37-04:00,14.4,35603.0,0.0
2024-04-08 15:50:07-04:00,15.1,35464.0,0.0
2024-04-08 15:50:37-04:00,15.6,35810.0,0.0
2024-04-08 15:51:07-04:00,16.1,37798.0,0.0
2024-04-08 15:51:38-04:00,16.5,37950.0,0.0
2024-04-08 15:52:08-04:00,17.0,38568.0,0.0
2024-04-08 15:52:38-04:00,17.2,39988.0,0.0
2024-04-08 15:53:08-04:00,16.4,40736.0,0.0
2024-04-08 15:53:38-04:00,15.7,41920.0,0.0
2024-04-08 15:54:08-04:00,16.1,43295.0,0.0
2024-04-08 15:54:38-04:00,16.8,44307.0,0.0
2024-04-08 15:55:08-04:00,17.4,44970.0,0.0
2024-04-08 15:55:38-04:00,17.9,46260.0,0.1
2024-04-08 15:56:08-04:00,18.4,48244.0,0.1
2024-04-08 15:56:38-04:00,18.9,50154.0,0.2
2024-04-08 15:57:08-04:00,19.4,49668.5,0.2
2024-04-08 15:57:39-04:00,19.8,50250.0,0.3
